Serial workload request 26. This is a project-authored mixed-length context. Use only the records below. Preserve record identifiers when answering.

Record 00001: station Birch; shipment code SERIAL26-00001-07919; marker green; quantity 170; observed delay 13 minutes; validation state accepted.
Record 00002: station Cedar; shipment code SERIAL26-00002-15838; marker violet; quantity 267; observed delay 26 minutes; validation state accepted.
Record 00003: station Dogwood; shipment code SERIAL26-00003-23757; marker blue; quantity 364; observed delay 39 minutes; validation state accepted.
Record 00004: station Elm; shipment code SERIAL26-00004-31676; marker indigo; quantity 461; observed delay 5 minutes; validation state accepted.
Record 00005: station Fir; shipment code SERIAL26-00005-39595; marker white; quantity 558; observed delay 18 minutes; validation state accepted.
Record 00006: station Grove; shipment code SERIAL26-00006-47514; marker copper; quantity 655; observed delay 31 minutes; validation state accepted.
Record 00007: station Hazel; shipment code SERIAL26-00007-55433; marker silver; quantity 752; observed delay 44 minutes; validation state accepted.
Record 00008: station Alder; shipment code SERIAL26-00008-63352; marker amber; quantity 849; observed delay 10 minutes; validation state accepted.
Record 00009: station Birch; shipment code SERIAL26-00009-71271; marker green; quantity 946; observed delay 23 minutes; validation state accepted.
Record 00010: station Cedar; shipment code SERIAL26-00010-79190; marker violet; quantity 142; observed delay 36 minutes; validation state accepted.
Record 00011: station Dogwood; shipment code SERIAL26-00011-87109; marker blue; quantity 239; observed delay 2 minutes; validation state accepted.
Record 00012: station Elm; shipment code SERIAL26-00012-95028; marker indigo; quantity 336; observed delay 15 minutes; validation state accepted.
Record 00013: station Fir; shipment code SERIAL26-00013-02947; marker white; quantity 433; observed delay 28 minutes; validation state accepted.
Record 00014: station Grove; shipment code SERIAL26-00014-10866; marker copper; quantity 530; observed delay 41 minutes; validation state accepted.
Record 00015: station Hazel; shipment code SERIAL26-00015-18785; marker silver; quantity 627; observed delay 7 minutes; validation state accepted.
Record 00016: station Alder; shipment code SERIAL26-00016-26704; marker amber; quantity 724; observed delay 20 minutes; validation state accepted.
Record 00017: station Birch; shipment code SERIAL26-00017-34623; marker green; quantity 821; observed delay 33 minutes; validation state accepted.
Record 00018: station Cedar; shipment code SERIAL26-00018-42542; marker violet; quantity 918; observed delay 46 minutes; validation state accepted.
Record 00019: station Dogwood; shipment code SERIAL26-00019-50461; marker blue; quantity 114; observed delay 12 minutes; validation state accepted.
Record 00020: station Elm; shipment code SERIAL26-00020-58380; marker indigo; quantity 211; observed delay 25 minutes; validation state accepted.
Record 00021: station Fir; shipment code SERIAL26-00021-66299; marker white; quantity 308; observed delay 38 minutes; validation state accepted.
Record 00022: station Grove; shipment code SERIAL26-00022-74218; marker copper; quantity 405; observed delay 4 minutes; validation state accepted.
Record 00023: station Hazel; shipment code SERIAL26-00023-82137; marker silver; quantity 502; observed delay 17 minutes; validation state accepted.
Record 00024: station Alder; shipment code SERIAL26-00024-90056; marker amber; quantity 599; observed delay 30 minutes; validation state accepted.
Record 00025: station Birch; shipment code SERIAL26-00025-97975; marker green; quantity 696; observed delay 43 minutes; validation state accepted.
Record 00026: station Cedar; shipment code SERIAL26-00026-05894; marker violet; quantity 793; observed delay 9 minutes; validation state accepted.
Record 00027: station Dogwood; shipment code SERIAL26-00027-13813; marker blue; quantity 890; observed delay 22 minutes; validation state accepted.
Record 00028: station Elm; shipment code SERIAL26-00028-21732; marker indigo; quantity 86; observed delay 35 minutes; validation state accepted.
Record 00029: station Fir; shipment code SERIAL26-00029-29651; marker white; quantity 183; observed delay 1 minutes; validation state accepted.
Record 00030: station Grove; shipment code SERIAL26-00030-37570; marker copper; quantity 280; observed delay 14 minutes; validation state accepted.
Record 00031: station Hazel; shipment code SERIAL26-00031-45489; marker silver; quantity 377; observed delay 27 minutes; validation state accepted.
Record 00032: station Alder; shipment code SERIAL26-00032-53408; marker amber; quantity 474; observed delay 40 minutes; validation state accepted.
Record 00033: station Birch; shipment code SERIAL26-00033-61327; marker green; quantity 571; observed delay 6 minutes; validation state accepted.
Record 00034: station Cedar; shipment code SERIAL26-00034-69246; marker violet; quantity 668; observed delay 19 minutes; validation state accepted.
Record 00035: station Dogwood; shipment code SERIAL26-00035-77165; marker blue; quantity 765; observed delay 32 minutes; validation state accepted.
Record 00036: station Elm; shipment code SERIAL26-00036-85084; marker indigo; quantity 862; observed delay 45 minutes; validation state accepted.
Record 00037: station Fir; shipment code SERIAL26-00037-93003; marker white; quantity 959; observed delay 11 minutes; validation state accepted.
Record 00038: station Grove; shipment code SERIAL26-00038-00922; marker copper; quantity 155; observed delay 24 minutes; validation state accepted.
Record 00039: station Hazel; shipment code SERIAL26-00039-08841; marker silver; quantity 252; observed delay 37 minutes; validation state accepted.
Record 00040: station Alder; shipment code SERIAL26-00040-16760; marker amber; quantity 349; observed delay 3 minutes; validation state accepted.
Record 00041: station Birch; shipment code SERIAL26-00041-24679; marker green; quantity 446; observed delay 16 minutes; validation state accepted.
Record 00042: station Cedar; shipment code SERIAL26-00042-32598; marker violet; quantity 543; observed delay 29 minutes; validation state accepted.
Record 00043: station Dogwood; shipment code SERIAL26-00043-40517; marker blue; quantity 640; observed delay 42 minutes; validation state accepted.
Record 00044: station Elm; shipment code SERIAL26-00044-48436; marker indigo; quantity 737; observed delay 8 minutes; validation state accepted.
Record 00045: station Fir; shipment code SERIAL26-00045-56355; marker white; quantity 834; observed delay 21 minutes; validation state accepted.
Record 00046: station Grove; shipment code SERIAL26-00046-64274; marker copper; quantity 931; observed delay 34 minutes; validation state accepted.
Record 00047: station Hazel; shipment code SERIAL26-00047-72193; marker silver; quantity 127; observed delay 0 minutes; validation state accepted.
Record 00048: station Alder; shipment code SERIAL26-00048-80112; marker amber; quantity 224; observed delay 13 minutes; validation state accepted.
Record 00049: station Birch; shipment code SERIAL26-00049-88031; marker green; quantity 321; observed delay 26 minutes; validation state accepted.
Record 00050: station Cedar; shipment code SERIAL26-00050-95950; marker violet; quantity 418; observed delay 39 minutes; validation state accepted.
Record 00051: station Dogwood; shipment code SERIAL26-00051-03869; marker blue; quantity 515; observed delay 5 minutes; validation state accepted.
Record 00052: station Elm; shipment code SERIAL26-00052-11788; marker indigo; quantity 612; observed delay 18 minutes; validation state accepted.
Record 00053: station Fir; shipment code SERIAL26-00053-19707; marker white; quantity 709; observed delay 31 minutes; validation state accepted.
Record 00054: station Grove; shipment code SERIAL26-00054-27626; marker copper; quantity 806; observed delay 44 minutes; validation state accepted.
Record 00055: station Hazel; shipment code SERIAL26-00055-35545; marker silver; quantity 903; observed delay 10 minutes; validation state accepted.
Record 00056: station Alder; shipment code SERIAL26-00056-43464; marker amber; quantity 99; observed delay 23 minutes; validation state accepted.
Record 00057: station Birch; shipment code SERIAL26-00057-51383; marker green; quantity 196; observed delay 36 minutes; validation state accepted.
Record 00058: station Cedar; shipment code SERIAL26-00058-59302; marker violet; quantity 293; observed delay 2 minutes; validation state accepted.
Record 00059: station Dogwood; shipment code SERIAL26-00059-67221; marker blue; quantity 390; observed delay 15 minutes; validation state accepted.
Record 00060: station Elm; shipment code SERIAL26-00060-75140; marker indigo; quantity 487; observed delay 28 minutes; validation state accepted.
Record 00061: station Fir; shipment code SERIAL26-00061-83059; marker white; quantity 584; observed delay 41 minutes; validation state accepted.
Record 00062: station Grove; shipment code SERIAL26-00062-90978; marker copper; quantity 681; observed delay 7 minutes; validation state accepted.
Record 00063: station Hazel; shipment code SERIAL26-00063-98897; marker silver; quantity 778; observed delay 20 minutes; validation state accepted.
Record 00064: station Alder; shipment code SERIAL26-00064-06816; marker amber; quantity 875; observed delay 33 minutes; validation state accepted.
Record 00065: station Birch; shipment code SERIAL26-00065-14735; marker green; quantity 972; observed delay 46 minutes; validation state accepted.
Record 00066: station Cedar; shipment code SERIAL26-00066-22654; marker violet; quantity 168; observed delay 12 minutes; validation state accepted.
Record 00067: station Dogwood; shipment code SERIAL26-00067-30573; marker blue; quantity 265; observed delay 25 minutes; validation state accepted.
Record 00068: station Elm; shipment code SERIAL26-00068-38492; marker indigo; quantity 362; observed delay 38 minutes; validation state accepted.
Record 00069: station Fir; shipment code SERIAL26-00069-46411; marker white; quantity 459; observed delay 4 minutes; validation state accepted.
Record 00070: station Grove; shipment code SERIAL26-00070-54330; marker copper; quantity 556; observed delay 17 minutes; validation state accepted.
Record 00071: station Hazel; shipment code SERIAL26-00071-62249; marker silver; quantity 653; observed delay 30 minutes; validation state accepted.
Record 00072: station Alder; shipment code SERIAL26-00072-70168; marker amber; quantity 750; observed delay 43 minutes; validation state accepted.
Record 00073: station Birch; shipment code SERIAL26-00073-78087; marker green; quantity 847; observed delay 9 minutes; validation state accepted.
Record 00074: station Cedar; shipment code SERIAL26-00074-86006; marker violet; quantity 944; observed delay 22 minutes; validation state accepted.
Record 00075: station Dogwood; shipment code SERIAL26-00075-93925; marker blue; quantity 140; observed delay 35 minutes; validation state accepted.
Record 00076: station Elm; shipment code SERIAL26-00076-01844; marker indigo; quantity 237; observed delay 1 minutes; validation state accepted.
Record 00077: station Fir; shipment code SERIAL26-00077-09763; marker white; quantity 334; observed delay 14 minutes; validation state accepted.
Record 00078: station Grove; shipment code SERIAL26-00078-17682; marker copper; quantity 431; observed delay 27 minutes; validation state accepted.
Record 00079: station Hazel; shipment code SERIAL26-00079-25601; marker silver; quantity 528; observed delay 40 minutes; validation state accepted.
Record 00080: station Alder; shipment code SERIAL26-00080-33520; marker amber; quantity 625; observed delay 6 minutes; validation state accepted.
Record 00081: station Birch; shipment code SERIAL26-00081-41439; marker green; quantity 722; observed delay 19 minutes; validation state accepted.
Record 00082: station Cedar; shipment code SERIAL26-00082-49358; marker violet; quantity 819; observed delay 32 minutes; validation state accepted.
Record 00083: station Dogwood; shipment code SERIAL26-00083-57277; marker blue; quantity 916; observed delay 45 minutes; validation state accepted.
Record 00084: station Elm; shipment code SERIAL26-00084-65196; marker indigo; quantity 112; observed delay 11 minutes; validation state accepted.
Record 00085: station Fir; shipment code SERIAL26-00085-73115; marker white; quantity 209; observed delay 24 minutes; validation state accepted.
Record 00086: station Grove; shipment code SERIAL26-00086-81034; marker copper; quantity 306; observed delay 37 minutes; validation state accepted.
Record 00087: station Hazel; shipment code SERIAL26-00087-88953; marker silver; quantity 403; observed delay 3 minutes; validation state accepted.
Record 00088: station Alder; shipment code SERIAL26-00088-96872; marker amber; quantity 500; observed delay 16 minutes; validation state accepted.
Record 00089: station Birch; shipment code SERIAL26-00089-04791; marker green; quantity 597; observed delay 29 minutes; validation state accepted.
