batch_id,dataset_name,stage,router_layer_index,router_module_name,expert_id,assigned_tokens,total_tokens,load_fraction,expert_capacity,overflow_tokens
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,0,8,501,0.015968063872255488,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,1,3,501,0.005988023952095809,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,2,13,501,0.02594810379241517,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,3,20,501,0.03992015968063872,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,4,7,501,0.013972055888223553,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,5,19,501,0.03792415169660679,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,6,23,501,0.04590818363273453,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,7,25,501,0.0499001996007984,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,8,10,501,0.01996007984031936,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,9,13,501,0.02594810379241517,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,10,4,501,0.007984031936127744,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,11,46,501,0.09181636726546906,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,12,18,501,0.03592814371257485,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,13,39,501,0.07784431137724551,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,14,10,501,0.01996007984031936,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,15,5,501,0.00998003992015968,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,16,1,501,0.001996007984031936,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,17,0,501,0.0,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,18,55,501,0.10978043912175649,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,19,12,501,0.023952095808383235,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,20,15,501,0.029940119760479042,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,21,3,501,0.005988023952095809,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,22,6,501,0.011976047904191617,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,23,6,501,0.011976047904191617,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,24,48,501,0.09580838323353294,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,25,24,501,0.04790419161676647,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,26,4,501,0.007984031936127744,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,27,5,501,0.00998003992015968,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,28,18,501,0.03592814371257485,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,29,4,501,0.007984031936127744,64,0
